  1.00000000E+00   -9.99382319E-01    1.26387928E-05
  2.00000000E+00   -9.98146880E-01    3.79690829E-05
  3.00000000E+00   -9.96911206E-01    6.33935462E-05
  4.00000000E+00   -9.95675142E-01    8.88859316E-05
  5.00000000E+00   -9.94438531E-01    1.14389704E-04
  6.00000000E+00   -9.93201216E-01    1.39836199E-04
  7.00000000E+00   -9.91963041E-01    1.65139665E-04
  8.00000000E+00   -9.90723848E-01    1.90179526E-04
  9.00000000E+00   -9.89483479E-01    2.14783732E-04
  1.00000000E+01   -9.88241776E-01    2.38722444E-04
  1.10000000E+01   -9.86998579E-01    2.61715214E-04
  1.20000000E+01   -9.85753728E-01    2.83450683E-04
  1.30000000E+01   -9.84507063E-01    3.03615545E-04
  1.40000000E+01   -9.83258422E-01    3.21928035E-04
  1.50000000E+01   -9.82007642E-01    3.38170831E-04
  1.60000000E+01   -9.80754560E-01    3.52218905E-04
  1.70000000E+01   -9.79499010E-01    3.64059213E-04
  1.80000000E+01   -9.78240828E-01    3.73800628E-04
  1.90000000E+01   -9.76979844E-01    3.81673756E-04
  2.00000000E+01   -9.75715891E-01    3.88021200E-04
  2.10000000E+01   -9.74448799E-01    3.93279445E-04
  2.20000000E+01   -9.73178394E-01    3.97953983E-04
  2.30000000E+01   -9.71904504E-01    4.02589682E-04
  2.40000000E+01   -9.70626954E-01    4.07738824E-04
  2.50000000E+01   -9.69345565E-01    4.13929553E-04
  2.60000000E+01   -9.68060159E-01    4.21637782E-04
  2.70000000E+01   -9.66770555E-01    4.31265468E-04
  2.80000000E+01   -9.65476569E-01    4.43127572E-04
  2.90000000E+01   -9.64178016E-01    4.57448763E-04
  3.00000000E+01   -9.62874706E-01    4.74369207E-04
  3.10000000E+01   -9.61566450E-01    4.93957219E-04
  3.20000000E+01   -9.60253054E-01    5.16225642E-04
  3.30000000E+01   -9.58934323E-01    5.41148770E-04
  3.40000000E+01   -9.57610057E-01    5.68677210E-04
  3.50000000E+01   -9.56280055E-01    5.98748984E-04
  3.60000000E+01   -9.54944112E-01    6.31296221E-04
  3.70000000E+01   -9.53602019E-01    6.66247754E-04
  3.80000000E+01   -9.52253566E-01    7.03528622E-04
  3.90000000E+01   -9.50898537E-01    7.43057765E-04
  4.00000000E+01   -9.49536714E-01    7.84745143E-04
  4.10000000E+01   -9.48167874E-01    8.28489180E-04
  4.20000000E+01   -9.46791791E-01    8.74174929E-04
  4.30000000E+01   -9.45408235E-01    9.21672709E-04
  4.40000000E+01   -9.44016971E-01    9.70836645E-04
  4.50000000E+01   -9.42617760E-01    1.02150286E-03
  4.60000000E+01   -9.41210358E-01    1.07348789E-03
  4.70000000E+01   -9.39794517E-01    1.12658828E-03
  4.80000000E+01   -9.38369985E-01    1.18058193E-03
  4.90000000E+01   -9.36936502E-01    1.23523037E-03
  5.00000000E+01   -9.35493805E-01    1.29028024E-03
  5.10000000E+01   -9.34041624E-01    1.34546240E-03
  5.20000000E+01   -9.32579685E-01    1.40048877E-03
  5.30000000E+01   -9.31107707E-01    1.45504946E-03
  5.40000000E+01   -9.29625403E-01    1.50881320E-03
  5.50000000E+01   -9.28132480E-01    1.56143198E-03
  5.60000000E+01   -9.26628637E-01    1.61254732E-03
  5.70000000E+01   -9.25113569E-01    1.66179504E-03
  5.80000000E+01   -9.23586960E-01    1.70880729E-03
  5.90000000E+01   -9.22048489E-01    1.75321479E-03
  6.00000000E+01   -9.20497829E-01    1.79465278E-03
  6.10000000E+01   -9.18934641E-01    1.83277180E-03
  6.20000000E+01   -9.17358580E-01    1.86724981E-03
  6.30000000E+01   -9.15769293E-01    1.89780104E-03
  6.40000000E+01   -9.14166418E-01    1.92417923E-03
  6.50000000E+01   -9.12549582E-01    1.94617770E-03
  6.60000000E+01   -9.10918403E-01    1.96363098E-03
  6.70000000E+01   -9.09272492E-01    1.97642097E-03
  6.80000000E+01   -9.07611446E-01    1.98448603E-03
  6.90000000E+01   -9.05934852E-01    1.98782921E-03
  7.00000000E+01   -9.04242289E-01    1.98652230E-03
  7.10000000E+01   -9.02533320E-01    1.98070455E-03
  7.20000000E+01   -9.00807498E-01    1.97057582E-03
  7.30000000E+01   -8.99064366E-01    1.95638419E-03
  7.40000000E+01   -8.97303450E-01    1.93840867E-03
  7.50000000E+01   -8.95524264E-01    1.91694152E-03
  7.60000000E+01   -8.93726311E-01    1.89227721E-03
  7.70000000E+01   -8.91909074E-01    1.86471229E-03
  7.80000000E+01   -8.90072026E-01    1.83455125E-03
  7.90000000E+01   -8.88214622E-01    1.80210678E-03
  8.00000000E+01   -8.86336301E-01    1.76768844E-03
  8.10000000E+01   -8.84436485E-01    1.73158638E-03
  8.20000000E+01   -8.82514578E-01    1.69406346E-03
  8.30000000E+01   -8.80569968E-01    1.65536156E-03
  8.40000000E+01   -8.78602020E-01    1.61571664E-03
  8.50000000E+01   -8.76610083E-01    1.57537540E-03
  8.60000000E+01   -8.74593484E-01    1.53461072E-03
  8.70000000E+01   -8.72551527E-01    1.49373459E-03
  8.80000000E+01   -8.70483496E-01    1.45310501E-03
  8.90000000E+01   -8.68388650E-01    1.41312382E-03
  9.00000000E+01   -8.66266224E-01    1.37422653E-03
  9.10000000E+01   -8.64115430E-01    1.33686785E-03
  9.20000000E+01   -8.61935449E-01    1.30150247E-03
  9.30000000E+01   -8.59725440E-01    1.26856111E-03
  9.40000000E+01   -8.57484528E-01    1.23843023E-03
  9.50000000E+01   -8.55211812E-01    1.21143933E-03
  9.60000000E+01   -8.52906359E-01    1.18784686E-03
  9.70000000E+01   -8.50567202E-01    1.16782037E-03
  9.80000000E+01   -8.48193340E-01    1.15142569E-03
  9.90000000E+01   -8.45783740E-01    1.13864164E-03
  1.00000000E+02   -8.43337327E-01    1.12939318E-03
  1.01000000E+02   -8.40852991E-01    1.12356558E-03
  1.02000000E+02   -8.38329581E-01    1.12097219E-03
  1.03000000E+02   -8.35765901E-01    1.12130347E-03
  1.04000000E+02   -8.33160715E-01    1.12410626E-03
  1.05000000E+02   -8.30512737E-01    1.12880864E-03
  1.06000000E+02   -8.27820637E-01    1.13478150E-03
  1.07000000E+02   -8.25083030E-01    1.14142050E-03
  1.08000000E+02   -8.22298481E-01    1.14822311E-03
  1.09000000E+02   -8.19465499E-01    1.15485603E-03
  1.10000000E+02   -8.16582535E-01    1.16122677E-03
  1.11000000E+02   -8.13647980E-01    1.16752746E-03
  1.12000000E+02   -8.10660161E-01    1.17418287E-03
  1.13000000E+02   -8.07617338E-01    1.18167979E-03
  1.14000000E+02   -8.04517704E-01    1.19034389E-03
  1.15000000E+02   -8.01359376E-01    1.20017715E-03
  1.16000000E+02   -7.98140397E-01    1.21083197E-03
  1.17000000E+02   -7.94858727E-01    1.22172639E-03
  1.18000000E+02   -7.91512246E-01    1.23223485E-03
  1.19000000E+02   -7.88098742E-01    1.24183544E-03
  1.20000000E+02   -7.84615915E-01    1.25011692E-03
  1.21000000E+02   -7.81061363E-01    1.25665952E-03
  1.22000000E+02   -7.77432587E-01    1.26089911E-03
  1.23000000E+02   -7.73726979E-01    1.26208496E-03
  1.24000000E+02   -7.69941821E-01    1.25935911E-03
