           1 -0.99938231920525278        8.0064061289603669E-009
           2 -0.99814687957726034        1.6820383249997490E-007
           3 -0.99691120579551085        9.6989449583257501E-007
           4 -0.99567514162990700        3.0933598194882297E-006
           5 -0.99443853065883048        7.2197923014375330E-006
           6 -0.99320121619226032        1.3932225089213017E-005
           7 -0.99196304119462575        2.3677607834259363E-005
           8 -0.99072384820730630        3.6764253291267642E-005
           9 -0.98948347927070812        5.3377064041576852E-005
          10 -0.98824177584583006        7.3599358992951331E-005
          11 -0.98699857873524655        9.7435038984233747E-005
          12 -0.98575372800341998        1.2482816773920496E-004
          13 -0.98450706289626333        1.5567901493409271E-004
          14 -0.98325842175987022        1.8985660800642466E-004
          15 -0.98200764195832380        2.2720823775738372E-004
          16 -0.98075455979050263        2.6756644660799430E-004
          17 -0.97949901040579035        3.1075400705498285E-004
          18 -0.97824082771860488        3.5658738716818966E-004
          19 -0.97697984432164875        4.0487920473937988E-004
          20 -0.97571589139779236        4.5544012358941712E-004
          21 -0.97444879863048606        5.0808049981337076E-004
          22 -0.97317839411261264        5.6261189677872807E-004
          23 -0.97190450425366637        6.1884846519479021E-004
          24 -0.97062695368516239        6.7660817512605709E-004
          25 -0.96934556516416692        7.3571393419795991E-004
          26 -0.96806015947483104        7.9599464106550630E-004
          27 -0.96677055532782430        8.5728616381957495E-004
          28 -0.96547656925753889        9.1943213798675069E-004
          29 -0.96417801551695015        9.8228443765333798E-004
          30 -0.96287470597000147        1.0457032427655195E-003
          31 -0.96156644998138407        1.1095567714024871E-003
          32 -0.96025305430357866        1.1737208693621565E-003
          33 -0.95893432296101322        1.2380786563382202E-003
          34 -0.95761005713119463        1.3025203091312730E-003
          35 -0.95628005502266100        1.3669429250283247E-003
          36 -0.95494411174959692        1.4312503623296656E-003
          37 -0.95360201920294962        1.4953530007020678E-003
          38 -0.95225356591786958        1.5591674396313387E-003
          39 -0.95089853693730886        1.6226162073938589E-003
          40 -0.94953671367158021        1.6856275463824875E-003
          41 -0.94816787375369405        1.7481352512338042E-003
          42 -0.94679179089026488        1.8100784096740021E-003
          43 -0.94540823470778490        1.8714008611970348E-003
          44 -0.94401697059403922        1.9320503413308647E-003
          45 -0.94261775953443838        1.9919775239320226E-003
          46 -0.94121035794302998        2.0511352828993410E-003
          47 -0.93979451748793752        2.1094783707853227E-003
          48 -0.93836998491096635        2.1669634815303243E-003
          49 -0.93693650184110655        2.2235495051907955E-003
          50 -0.93549380460164355        2.2791977706984662E-003
          51 -0.93404162401058355        2.3338721713103772E-003
          52 -0.93257968517407241        2.3875391756539204E-003
          53 -0.93110770727248737        2.4401677684819036E-003
          54 -0.92962540333885957        2.4917293557238851E-003
          55 -0.92813248002925697        2.5421976665683851E-003
          56 -0.92662863738476375        2.5915487082271565E-003
