           1 -0.99938231920525278        2.1837572168358788E-006
           2 -0.99814687957726034        6.5697665220494901E-006
           3 -0.99691120579551085        1.1036318604548259E-005
           4 -0.99567514162990700        1.5673762782442448E-005
           5 -0.99443853065883048        2.0580756530507405E-005
           6 -0.99320121619226032        2.5839811793024635E-005
           7 -0.99196304119462575        3.1495960271497216E-005
           8 -0.99072384820730630        3.7545093910754438E-005
           9 -0.98948347927070812        4.3934396306335862E-005
          10 -0.98824177584583006        5.0572826513738407E-005
          11 -0.98699857873524655        5.7347279790949996E-005
          12 -0.98575372800341998        6.4140033937550936E-005
          13 -0.98450706289626333        7.0844227688472122E-005
          14 -0.98325842175987022        7.7375371540712649E-005
          15 -0.98200764195832380        8.3677914239934211E-005
          16 -0.98075455979050263        8.9726744852665848E-005
          17 -0.97949901040579035        9.5524271763996332E-005
          18 -0.97824082771860488        1.0109431317629216E-004
          19 -0.97697984432164875        1.0647432205709337E-004
          20 -0.97571589139779236        1.1170738951387846E-004
          21 -0.97444879863048606        1.1683510064555167E-004
          22 -0.97317839411261264        1.2189183185657153E-004
          23 -0.97190450425366637        1.2690065812770513E-004
          24 -0.97062695368516239        1.3187077638914454E-004
          25 -0.96934556516416692        1.3679622956237482E-004
          26 -0.96806015947483104        1.4165567135123014E-004
          27 -0.96677055532782430        1.4641291727847082E-004
          28 -0.96547656925753889        1.5101809600702316E-004
          29 -0.96417801551695015        1.5540933274911758E-004
          30 -0.96287470597000147        1.5951499277274471E-004
          31 -0.96156644998138407        1.6325652822660294E-004
          32 -0.96025305430357866        1.6655192588486522E-004
          33 -0.95893432296101322        1.6931969752527536E-004
          34 -0.95761005713119463        1.7148327946263421E-004
          35 -0.95628005502266100        1.7297557901507126E-004
          36 -0.95494411174959692        1.7374327787892757E-004
          37 -0.95360201920294962        1.7375050549283359E-004
          38 -0.95225356591786958        1.7298167097644813E-004
          39 -0.95089853693730886        1.7144343986267722E-004
          40 -0.94953671367158021        1.6916583503408727E-004
          41 -0.94816787375369405        1.6620219772983628E-004
          42 -0.94679179089026488        1.6262757802971902E-004
          43 -0.94540823470778490        1.5853544514162599E-004
          44 -0.94401697059403922        1.5403342213371585E-004
          45 -0.94261775953443838        1.4923948717282946E-004
          46 -0.94121035794302998        1.4428005935885531E-004
          47 -0.93979451748793752        1.3929045799491991E-004
          48 -0.93836998491096635        1.3441691139335724E-004
          49 -0.93693650184110655        1.2981831178586007E-004
          50 -0.93549380460164355        1.2566572964568243E-004
          51 -0.93404162401058355        1.2213841323484596E-004
          52 -0.93257968517407241        1.1941634274968761E-004
          53 -0.93110770727248737        1.1767077743863314E-004
          54 -0.92962540333885957        1.1705490329596896E-004
          55 -0.92813248002925697        1.1769624622410176E-004
          56 -0.92662863738476375        1.1969127572915052E-004
          57 -0.92511356858464910        1.2310164453629345E-004
          58 -0.92358695969031812        1.2795171838220031E-004
          59 -0.92204848937960160        1.3422791668628705E-004
          60 -0.92049782867093199        1.4188031128579913E-004
          61 -0.91893464063692265        1.5082567600055571E-004
          62 -0.91735858010684490        1.6095054905006063E-004
          63 -0.91576929335747059        1.7211407686080926E-004
          64 -0.91416641779172547        1.8415209401559390E-004
          65 -0.91254958160456223        1.9688393706621062E-004
          66 -0.91091840343543673        2.1012174484644056E-004
          67 -0.90927249200674143        2.2368018924176885E-004
          68 -0.90761144574750463        2.3738426276293992E-004
          69 -0.90593485240164529        2.5107406623711508E-004
          70 -0.90424228862001577        2.6460740909536618E-004
          71 -0.90253331953544436        2.7786195934949190E-004
          72 -0.90080749831992546        2.9073780509430433E-004
          73 -0.89906436572308435        3.0315934441083080E-004
          74 -0.89730344959096964        3.1507418580514475E-004
          75 -0.89552426436420096        3.2644722734652355E-004
          76 -0.89372631055442397        3.3725008423576342E-004
          77 -0.89190907419798604        3.4744893417486727E-004
          78 -0.89007202628567161        3.5699616210845702E-004
          79 -0.88821462216728486        3.6583055344825558E-004
          80 -0.88633630092978710        3.7388667070720985E-004
          81 -0.88443648474763936        3.8110913129527747E-004
          82 -0.88251457820391011        3.8746507772363838E-004
          83 -0.88056996758064465        3.9294954928901051E-004
          84 -0.87860202011688882        3.9758309618490923E-004
          85 -0.87661008323268541        4.0140538671392626E-004
          86 -0.87459348371726342        4.0446787481058513E-004
          87 -0.87255152687953119        4.0682448691553461E-004
          88 -0.87048349565888938        4.0851944098785803E-004
          89 -0.86838864969425789        4.0957622186056582E-004
          90 -0.86626622434909895        4.0999402640195810E-004
          91 -0.86411542969008259        4.0975495250482346E-004
          92 -0.86193544941692346        4.0883970306946444E-004
          93 -0.85972543974075011        4.0724350120098794E-004
          94 -0.85748452820825283        4.0498117176349720E-004
          95 -0.85521181246866429        4.0207837734368960E-004
          96 -0.85290635898048384        3.9856059951872693E-004
          97 -0.85056720165467092        3.9445286810566434E-004
          98 -0.84819334043084860        3.8978899025783766E-004
          99 -0.84578373978286048        3.8462100273328628E-004
         100 -0.84333732714982113        3.7902490180143907E-004
         101 -0.84085299128858404        3.7310568582655092E-004
         102 -0.83832958054331586        3.6700580270432879E-004
         103 -0.83576590102763570        3.6091558880140266E-004
         104 -0.83316071471451847        3.5507937941609404E-004
         105 -0.83051273742890364        3.4979360698216043E-004
         106 -0.82782063673767470        3.4539659847449103E-004
         107 -0.82508302973138725        3.4224927768396397E-004
         108 -0.82229848069182498        3.4070951087291902E-004
         109 -0.81946549863915830        3.4111032356178104E-004
         110 -0.81658253475215070        3.4375065212565868E-004
         111 -0.81364797965454405        3.4889140535484479E-004
         112 -0.81066016056039847        3.5673856945376138E-004
         113 -0.80761733827082960        3.6741084607765399E-004
         114 -0.80451770401423983        3.8091233080052447E-004
         115 -0.80135937612176866        3.9713075854928891E-004
         116 -0.79814039652936319        4.1586073222672581E-004
         117 -0.79485872709750316        4.3682675149191250E-004
         118 -0.79151224573928691        4.5969106922731667E-004
         119 -0.78809874234726884        4.8407021582387545E-004
         120 -0.78461591450913304        5.0958237137717431E-004
         121 -0.78106136300203133        5.3591542412331577E-004
         122 -0.77743258705518636        5.6285646436216312E-004
         123 -0.77372697937019841        5.9021352815247425E-004
         124 -0.76994182088839680        6.1770415303324087E-004
         125 -0.76607427529456329        6.4492989228143757E-004
         126 -0.76212138324647294        6.7141054015242832E-004
         127 -0.75808005631991093        6.9664483940284449E-004
         128 -0.75394707065925137        7.2020609643014765E-004
         129 -0.74971906032426794        7.4180018550778419E-004
         130 -0.74539251032469467        7.6120436950580933E-004
         131 -0.74096374933519094        7.7811099811216729E-004
         132 -0.73642894208483789        7.9195793757767352E-004
         133 -0.73178408141718476        8.0182024921222352E-004
         134 -0.72702498001924531        8.0638299821001564E-004
         135 -0.72214726182080025        8.0392810739871035E-004
         136 -0.71714635306898966        7.9234338146360033E-004
         137 -0.71201747308764474        7.6929448140860678E-004
         138 -0.70675562473615705        7.3270092727024331E-004
         139 -0.70135558458918368        6.8149701027276320E-004
         140 -0.69581189286623890        6.1640210219663641E-004
         141 -0.69011884314946248        5.4033891549161157E-004
         142 -0.68427047193884349        4.5808526827572396E-004
         143 -0.67826054810712078        3.7491222579548271E-004
         144 -0.67208256233186514        2.9469381311144342E-004
         145 -0.66572971660009905        2.1868019582682057E-004
         146 -0.65919491390173901        1.4565249009904638E-004
         147 -0.65247074825240836        7.2851931558413265E-005
         148 -0.64554949521434124       -2.5122080813427500E-006
         149 -0.63842310311659234       -8.1265350133651200E-005
         150 -0.63108318521307105       -1.6145712735950640E-004
         151 -0.62352101305960128       -2.4037875718827635E-004
         152 -0.61572751143974935       -3.1765463745869066E-004
         153 -0.60769325522401252       -3.9428623952102632E-004
         154 -0.59940846860864516       -4.6955793720891573E-004
