           1 -0.99938231920525278        2.4638650427428899E-003
           2 -0.99814687957726034        2.4637048470461742E-003
           3 -0.99691120579551085        2.4629031645118970E-003
           4 -0.99567514162990700        2.4607797195595029E-003
           5 -0.99443853065883048        2.4566533248211115E-003
           6 -0.99320121619226032        2.4499409510427609E-003
           7 -0.99196304119462575        2.4401956513387469E-003
           8 -0.99072384820730630        2.4271091149307578E-003
           9 -0.98948347927070812        2.4104964407646971E-003
          10 -0.98824177584583006        2.3902743112571246E-003
          11 -0.98699857873524655        2.3664388268450120E-003
          12 -0.98575372800341998        2.3390459251338086E-003
          13 -0.98450706289626333        2.3081953378981958E-003
          14 -0.98325842175987022        2.2740180392992219E-003
          15 -0.98200764195832380        2.2366667402604489E-003
          16 -0.98075455979050263        2.1963089001498892E-003
          17 -0.97949901040579035        2.1531217482344085E-003
          18 -0.97824082771860488        2.1072888180846336E-003
          19 -0.97697984432164875        2.0589974933472137E-003
          20 -0.97571589139779236        2.0084371113970054E-003
          21 -0.97444879863048606        1.9557973170887966E-003
          22 -0.97317839411261264        1.9012665477759730E-003
          23 -0.97190450425366637        1.8450306532590108E-003
          24 -0.97062695368516239        1.7872716637799171E-003
          25 -0.96934556516416692        1.7281666718118580E-003
          26 -0.96806015947483104        1.6678867785775685E-003
          27 -0.96677055532782430        1.6065961156307006E-003
          28 -0.96547656925753889        1.5444510468522678E-003
          29 -0.96417801551695015        1.4815996973330070E-003
          30 -0.96287470597000147        1.4181818860843865E-003
          31 -0.96156644998138407        1.3543293937759791E-003
          32 -0.96025305430357866        1.2901663731603897E-003
          33 -0.95893432296101322        1.2258097029100633E-003
          34 -0.95761005713119463        1.1613692044216846E-003
          35 -0.95628005502266100        1.0969477784508372E-003
          36 -0.95494411174959692        1.0326415646005360E-003
          37 -0.95360201920294962        9.6854018098933739E-004
          38 -0.95225356591786958        9.0472702582885568E-004
          39 -0.95089853693730886        8.4127956849255490E-004
          40 -0.94953671367158021        7.7826956423982234E-004
          41 -0.94816787375369405        7.1576321613942733E-004
          42 -0.94679179089026488        6.5382143425778193E-004
          43 -0.94540823470778490        5.9250037698462877E-004
          44 -0.94401697059403922        5.3185230674325035E-004
          45 -0.94261775953443838        4.7192654766306573E-004
          46 -0.94121035794302998        4.1277022384170268E-004
          47 -0.93979451748793752        3.5442858072525917E-004
          48 -0.93836998491096635        2.9694492237852116E-004
          49 -0.93693650184110655        2.4036035676596156E-004
          50 -0.93549380460164355        1.8471355300070329E-004
          51 -0.93404162401058355        1.3004061590360836E-004
          52 -0.93257968517407241        7.6375074973385749E-005
          53 -0.93110770727248737        2.3747943652173391E-005
          54 -0.92962540333885957       -2.7812185707252043E-005
          55 -0.92813248002925697       -7.8279043915321494E-005
          56 -0.92662863738476375       -1.2762863971779671E-004
          57 -0.92511356858464910       -1.7583935154317801E-004
          58 -0.92358695969031812       -2.2289224295023559E-004
          59 -0.92204848937960160       -2.6877161736663541E-004
          60 -0.92049782867093199       -3.1346567755835303E-004
          61 -0.91893464063692265       -3.5696702809240083E-004
          62 -0.91735858010684490       -3.9927276873329766E-004
          63 -0.91576929335747059       -4.4038408190744290E-004
          64 -0.91416641779172547       -4.8030543234510735E-004
          65 -0.91254958160456223       -5.1904363852824911E-004
          66 -0.91091840343543673       -5.5660706282808180E-004
          67 -0.90927249200674143       -5.9300503890741252E-004
          68 -0.90761144574750463       -6.2824750703928335E-004
          69 -0.90593485240164529       -6.6234473809154127E-004
          70 -0.90424228862001577       -6.9530705230440369E-004
          71 -0.90253331953544436       -7.2714458877580252E-004
          72 -0.90080749831992546       -7.5786733458344533E-004
          73 -0.89906436572308435       -7.8748554794936805E-004
          74 -0.89730344959096964       -8.1601033838948835E-004
          75 -0.89552426436420096       -8.4345386095409911E-004
          76 -0.89372631055442397       -8.6982881287123170E-004
          77 -0.89190907419798604       -8.9514752489758785E-004
          78 -0.89007202628567161       -9.1942127554297170E-004
          79 -0.88821462216728486       -9.4266028077535891E-004
          80 -0.88633630092978710       -9.6487431792536128E-004
          81 -0.88443648474763936       -9.8607346719003022E-004
          82 -0.88251457820391011       -1.0062683930380238E-003
          83 -0.88056996758064465       -1.0254700436086815E-003
          84 -0.87860202011688882       -1.0436891985273122E-003
          85 -0.87661008323268541       -1.0609364090539328E-003
          86 -0.87459348371726342       -1.0772224379103556E-003
          87 -0.87255152687953119       -1.0925586479077426E-003
          88 -0.87048349565888938       -1.1069566727292058E-003
          89 -0.86838864969425789       -1.1204275649023174E-003
          90 -0.86626622434909895       -1.1329813225408605E-003
          91 -0.86411542969008259       -1.1446272788463992E-003
          92 -0.86193544941692346       -1.1553751725795565E-003
          93 -0.85972543974075011       -1.1652364721920772E-003
          94 -0.85748452820825283       -1.1742255219544947E-003
          95 -0.85521181246866429       -1.1823601820065625E-003
          96 -0.85290635898048384       -1.1896617595275555E-003
          97 -0.85056720165467092       -1.1961543708836962E-003
          98 -0.84819334043084860       -1.2018643182395258E-003
          99 -0.84578373978286048       -1.2068200203301442E-003
         100 -0.84333732714982113       -1.2110522534733044E-003
         101 -0.84085299128858404       -1.2145933958858210E-003
         102 -0.83832958054331586       -1.2174746506650467E-003
         103 -0.83576590102763570       -1.2197222351626638E-003
         104 -0.83316071471451847       -1.2213547701423447E-003
         105 -0.83051273742890364       -1.2223829870499981E-003
         106 -0.82782063673767470       -1.2228117373192591E-003
         107 -0.82508302973138725       -1.2226443754339122E-003
         108 -0.82229848069182498       -1.2218879115507334E-003
         109 -0.81946549863915830       -1.2205564756067699E-003
         110 -0.81658253475215070       -1.2186734221372596E-003
         111 -0.81364797965454405       -1.2162730828233004E-003
         112 -0.81066016056039847       -1.2134003895701434E-003
         113 -0.80761733827082960       -1.2101072488563381E-003
         114 -0.80451770401423983       -1.2064479777830746E-003
         115 -0.80135937612176866       -1.2024758974202711E-003
         116 -0.79814039652936319       -1.1982416449810795E-003
         117 -0.79485872709750316       -1.1937925887704729E-003
